customer_id,registered_date
C993531L,2021-11-08
C652751L,2022-07-19
C189144L,2022-07-01
C224183L,2022-04-07
C907186L,2022-05-08
C203544L,2021-11-20
C391618L,2022-06-02
C474741L,2022-01-27
C527055L,2022-07-16
C297858L,2022-06-20
C398847L,2022-07-14
C617766L,2022-07-20
C480851L,2022-07-25
C444616L,2021-12-21
C661647L,2021-11-09
C830977L,2022-05-26
C533639L,2021-09-04
C948604L,2022-06-22
C314557L,2022-05-13
C517976L,2022-06-13
C574874L,2022-03-07
C202398L,2022-08-18
C998847L,2022-07-03
C479492L,2022-05-19
C385646L,2021-11-05
C872920L,2021-09-18
C954117L,2022-01-18
C717684L,2022-05-05
C698317L,2021-12-14
C344377L,2022-06-06
C116160L,2022-05-05
C471753L,2021-11-27
C865334L,2022-04-24
C531952L,2022-06-16
C247150L,2021-07-05
C330571L,2022-01-21
C600944L,2022-02-24
C553551L,2022-02-25
C994467L,2022-03-15
C522805L,2022-02-17
C331978L,2021-11-23
C683691L,2022-03-13
C880014L,2022-07-11
C206125L,2021-08-19
C810568L,2022-05-10
C299472L,2021-11-20
C404912L,2022-01-16
C986391L,2021-09-28
C974256L,2022-06-01
C411258L,2021-09-17
C904633L,2022-05-19
C500989L,2022-07-02
C985957L,2022-01-13
C432189L,2022-06-10
C321785L,2022-02-11
C978527L,2022-01-03
C881612L,2022-03-13
C242231L,2021-09-22
C676393L,2021-07-27
C132488L,2021-12-09
C451335L,2022-06-11
C506838L,2022-01-08
C780898L,2021-11-17
C334571L,2022-02-25
C655017L,2021-09-01
C314803L,2021-11-01
C255099L,2022-06-10
C414907L,2022-07-26
C635495L,2021-12-07
C949083L,2021-11-08
C985612L,2022-01-28
C995583L,2022-03-02
C838657L,2022-01-13
C160662L,2022-02-14
C156665L,2022-03-22
C527307L,2021-10-04
C115342L,2022-06-17
C210105L,2021-11-10
C283740L,2022-05-03
C322598L,2022-05-17
C388719L,2022-05-24
C757268L,2022-03-28
C923141L,2022-05-08
C354051L,2022-01-02
C862302L,2022-01-24
C145587L,2021-08-16
C848774L,2021-11-07
C665146L,2022-06-27
C413469L,2022-06-09
C671304L,2022-05-24
C349467L,2022-02-21
C563862L,2022-07-21
C899610L,2021-12-25
C654029L,2022-03-19
C501840L,2022-03-14
C790722L,2021-11-19
C137982L,2022-04-02
C361493L,2022-06-28
C170264L,2021-11-25
C866250L,2022-03-27
C333379L,2022-03-14
C640667L,2022-04-11
C854145L,2021-07-19
C550002L,2021-09-28
C513701L,2022-01-26
C682985L,2021-10-03
C383629L,2022-01-27
C833283L,2022-06-14
C758391L,2022-01-12
C530632L,2021-12-02
C215074L,2021-09-13
C854773L,2022-02-22
C319814L,2022-07-07
C908781L,2022-03-12
C150198L,2022-05-13
C864410L,2021-11-15
C125637L,2022-04-05
C959285L,2021-08-14
C924458L,2021-10-03
C717559L,2022-08-16
C547681L,2021-09-04
C412936L,2021-07-16
C394076L,2021-10-12
C434751L,2022-05-02
C531212L,2021-11-23
C992621L,2021-11-17
C816600L,2021-09-21
C549342L,2022-05-20
C271561L,2022-03-06
C954660L,2022-01-25
C465263L,2022-02-01
C835137L,2021-07-22
C298284L,2022-03-27
C468516L,2022-02-03
C625201L,2022-01-28
C536852L,2022-02-16
C829183L,2022-05-27
C414678L,2022-04-08
C696203L,2022-01-15
C406406L,2022-07-08
C855079L,2022-06-12
C749236L,2022-02-25
C203164L,2021-10-25
C713972L,2022-01-01
C635740L,2022-01-22
C422171L,2022-04-22
C595698L,2022-02-01
C279368L,2022-03-24
C492850L,2021-07-09
C970497L,2021-11-26
C796218L,2021-07-13
C881371L,2022-07-12
C348449L,2022-07-07
C430739L,2022-02-02
C240208L,2021-12-22
C535715L,2022-06-28
C930868L,2022-05-15
C179670L,2022-08-17
C216058L,2022-07-24
C436261L,2021-07-25
C700565L,2022-05-20
C378684L,2021-07-03
C461382L,2021-12-14
C363466L,2021-11-24
C841181L,2022-04-21
C756592L,2022-04-15
C713431L,2022-06-22
C314395L,2022-05-06
C965864L,2022-06-17
C399878L,2021-11-24
C318908L,2022-04-04
C599590L,2021-10-21
C446421L,2022-07-10
C364393L,2022-03-12
C120985L,2021-11-27
C741725L,2022-08-25
